,Default Value,Minimum,Maximum,Type
sources, 100,,,int
average_healthy_glucose_absorption, .36,0,0.72,float
average_cancer_glucose_absorption, .54,0,1.08,float
average_healthy_oxygen_consumption, 20,0,40,float
average_cancer_oxygen_consumption, 20,0,40,float
quiescent_multiplier,2,,,float
critical_multiplier,0.75,,,float
cell_cycle,24,12,36,int
radiosensitivity_G1, 1,,,float
radiosensitivity_S, .75,,,float
radiosensitivity_G2, 1.25,,,float
radiosensitivity_M, 1.25,,,float
radiosensitivity_G0, .75,,,float
source_glucose_supply, 130,,,int
source_oxygen_supply, 4500,,,int
glucose_diffuse_rate, 0.2,,,float
oxygen_diffuse_rate, 0.2,,,float
h_cells, 1000,,,int
