,Metric,Timestep,Img_Type,Parameter,Difference,Mean_Similarity_Measure,Std_Similarity_Measure
0,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.648,0.708437939453125,0.21997020135728856
1,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.621,0.6479306884765625,0.2697766197364876
2,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.594,0.665304052734375,0.2639440767211393
3,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.567,0.651919775390625,0.2674284225384961
4,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.54,0.6510692138671875,0.2689931876682831
5,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.513,0.641997998046875,0.2727193231369602
6,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.486,0.6333736083984375,0.2788371354619066
7,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.459,0.637592822265625,0.2713363978097036
8,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.432,0.643009375,0.2694785555903925
9,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.4049999999999999,0.64130458984375,0.2688741891790921
10,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.378,0.6471219482421875,0.2615773284482247
11,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.351,0.64067783203125,0.2678346657200007
12,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.324,0.640618603515625,0.2635213709043986
13,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.297,0.6274091552734375,0.2713690452626957
14,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.27,0.6318825439453125,0.2660927609832615
15,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.243,0.6281173828125,0.2681833792252486
16,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.216,0.6348215087890625,0.2643029692107962
17,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.189,0.6341984130859375,0.2640189146578787
18,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.162,0.637145849609375,0.2621096345356868
19,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.135,0.6397282470703125,0.2616020151864792
20,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.108,0.6387990478515625,0.2631664433046106
21,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.081,0.6340200439453125,0.2658675385728434
