,Metric,Timestep,Img_Type,Parameter,Difference,Mean_Similarity_Measure,Std_Similarity_Measure
0,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.648,0.5931272216796875,0.2866899168197895
1,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.621,0.6630249267578125,0.2575422861333453
2,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.594,0.6592963134765625,0.2657197871899262
3,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.567,0.6510863525390626,0.2643814013215589
4,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.54,0.64397421875,0.2741988138088331
5,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.513,0.6407802734375,0.274227805953077
6,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.486,0.6405713623046875,0.2720113385708649
7,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.459,0.626814599609375,0.2766812940583194
8,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.432,0.628973046875,0.2763537093733709
9,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.4049999999999999,0.6286393798828125,0.273794697486513
10,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.378,0.6299368896484375,0.2731032291305245
11,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.351,0.6265719482421875,0.2695395379207322
12,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.324,0.6274098388671875,0.2700817712148169
13,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.297,0.62811845703125,0.267954887850332
14,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.27,0.6293711181640625,0.266760963168086
15,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.243,0.62900341796875,0.26876137165984
16,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.216,0.6289484130859375,0.267239029100991
17,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.189,0.6278384521484375,0.266773890190614
18,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.162,0.6325296142578125,0.264301308323729
19,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.135,0.6379490966796875,0.2601515765689379
20,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.108,0.63576796875,0.2642332786396825
21,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.081,0.634755908203125,0.2646042765484019
22,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.054,0.6329318359375,0.2656078026393118
23,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.027,0.638451953125,0.2638630273135932
24,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.0,0.6348647216796875,0.2651159770848791
25,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.432,0.5650074462890625,0.242227842592352
26,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.414,0.6041074951171875,0.2779293562317612
27,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3959999999999999,0.6032555908203125,0.2738851971825909
28,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3779999999999999,0.6155925537109375,0.2673847436290513
29,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.36,0.6193364501953125,0.2636426062422256
30,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3419999999999999,0.623078759765625,0.2636990821131605
31,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3239999999999999,0.6181288330078125,0.2661689735836139
32,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.306,0.6227925537109374,0.26515199355058
33,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.288,0.624955078125,0.266092893869453
34,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2699999999999999,0.6262171875,0.2627481392868753
35,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.252,0.631071923828125,0.263110888374068
36,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2339999999999999,0.6343405029296875,0.2626146626921278
37,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2159999999999999,0.6272868896484375,0.2685120008175313
38,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.1979999999999999,0.6264703857421875,0.269308392703069
39,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.18,0.6321024658203125,0.2665642207327296
40,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.1619999999999999,0.6322785888671875,0.2715616602131147
41,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.144,0.63453935546875,0.2676322096292465
42,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.126,0.642425048828125,0.2666101453659668
43,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.1079999999999999,0.6359505859375,0.2688140435722219
44,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.09,0.6398752197265625,0.2656758348453094
45,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.072,0.63369423828125,0.2703291663997023
46,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.0539999999999999,0.6364461181640625,0.2684424656197886
47,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.036,0.64086328125,0.266391558046154
48,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.018,0.6352723388671875,0.2680749688453524
49,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.0,0.629403466796875,0.2726919818692196
50,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.648,0.524447314453125,0.2757949043599839
51,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.621,0.5975873291015625,0.2872209128748514
52,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.594,0.6274037109375,0.2743081516218293
53,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.567,0.6067123046875,0.2837211254778661
54,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.54,0.6086042724609375,0.2817805794453106
55,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.513,0.6159078125,0.2765196025176084
56,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.486,0.6229146728515625,0.2742157464015333
57,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.459,0.6143990234375,0.2771099776992976
58,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.432,0.609170654296875,0.2791097378057059
59,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.4049999999999999,0.6146116455078126,0.2778737073729156
60,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.378,0.6123208984375,0.2770917510964822
61,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.351,0.608905224609375,0.2779707874841365
62,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.324,0.61419765625,0.276446457509122
63,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.297,0.610631982421875,0.2788196945004053
64,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.27,0.6030711669921875,0.2806116610162354
65,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.243,0.611370849609375,0.2773786141389827
66,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.216,0.616963671875,0.2732783353810163
67,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.189,0.611067529296875,0.2770521603632715
68,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.162,0.613966455078125,0.2746301470692691
69,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.135,0.616788134765625,0.2749691720240653
70,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.108,0.61145712890625,0.2790104820102437
71,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.081,0.6139938232421875,0.2757057980089019
72,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.054,0.6096298583984375,0.2797352513060326
73,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.027,0.619780322265625,0.2729105022618467
74,histogram intersection ,1050,oxygen,average_cancer_glucose_absorption,0.0,0.6127094970703125,0.277719679904237
75,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.432,0.63262080078125,0.2591870092536064
76,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.414,0.6420296875,0.2437762884595564
77,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.3959999999999999,0.6256559326171875,0.2575351781962234
78,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.3779999999999999,0.616558935546875,0.26635107654148
79,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.36,0.62634423828125,0.2649413388665489
80,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.3419999999999999,0.6282041748046875,0.2633872450376743
81,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.3239999999999999,0.6108060546875,0.2763655123112394
82,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.306,0.6106928955078125,0.2762329889273165
83,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.288,0.6104458740234375,0.2780185069615448
84,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.2699999999999999,0.6119257568359375,0.2757737152200216
85,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.252,0.60842763671875,0.277267689475071
86,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.2339999999999999,0.608686376953125,0.2815327907701365
87,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.2159999999999999,0.61255302734375,0.2766325721230276
88,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.1979999999999999,0.6127187255859375,0.2790934394335799
89,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.18,0.6104072021484375,0.2790464427127616
90,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.1619999999999999,0.6105640380859375,0.2776999871876057
91,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.144,0.615179638671875,0.2754983265031459
92,histogram intersection ,1050,oxygen,average_healthy_glucose_absorption,0.126,0.61613486328125,0.2776315132488178
