,Metric,Timestep,Img_Type,Parameter,Difference,Mean_Similarity_Measure,Std_Similarity_Measure
0,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,23.0,0.4185446533203125,0.2740622398099882
1,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,22.0,0.3709665771484375,0.2879171316465669
2,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,21.0,0.404472607421875,0.2652708091024753
3,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,20.0,0.4040086181640625,0.2722295946936821
4,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,19.0,0.421397998046875,0.2780486227738449
5,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,18.0,0.449580029296875,0.2727369837544053
6,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,17.0,0.4269971923828125,0.2686122203021544
7,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,16.0,0.4399801025390625,0.2665223105184955
8,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,15.0,0.4379199462890625,0.2670798765515713
9,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,14.0,0.425862841796875,0.268135433673188
10,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,13.0,0.4878810546875,0.2621837645735599
11,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,12.0,0.454170751953125,0.2636310432166077
12,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,11.0,0.4693362060546875,0.2634827053995547
13,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,10.0,0.47299892578125,0.2697540847368115
14,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,9.0,0.4755375732421875,0.2636170899682231
15,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,8.0,0.5070574462890625,0.2657986715289483
16,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,7.0,0.497148046875,0.2599977236681839
17,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,6.0,0.5401226318359375,0.2462955947397791
18,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,5.0,0.515025537109375,0.2540861198794625
19,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,4.0,0.527797509765625,0.2630725500704841
20,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,3.0,0.5481220947265625,0.2483268812071237
21,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,2.0,0.534984716796875,0.2544453061621888
22,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,1.0,0.5307209716796875,0.2543934481073135
23,histogram intersection ,1050,glucose,average_cancer_oxygen_consumption,0.0,0.5403446533203125,0.2484679959308299
24,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,23.0,0.495584130859375,0.2635234035608564
25,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,22.0,0.504533203125,0.262352488507522
26,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,21.0,0.4842724853515625,0.2600167853164056
27,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,20.0,0.4533700927734375,0.2704564724437706
28,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,19.0,0.5107496337890625,0.2535343137614687
29,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,18.0,0.4745657958984375,0.259627137592461
30,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,17.0,0.48579580078125,0.2630680064927464
31,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,16.0,0.4891726318359375,0.2602859960722605
32,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,15.0,0.4924552490234375,0.2573415039915394
33,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,14.0,0.4967527099609375,0.25935030205569
34,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,13.0,0.49498828125,0.2698080082948724
35,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,12.0,0.5123567626953125,0.2604265655018165
36,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,11.0,0.499750146484375,0.2597039098928516
37,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,10.0,0.4987386474609375,0.2606768300159676
38,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,9.0,0.49149287109375,0.2622555032818337
39,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,8.0,0.48217060546875,0.2653777826403373
40,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,7.0,0.510518408203125,0.2607067212669752
41,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,6.0,0.50397060546875,0.2546383212901132
42,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,5.0,0.489973681640625,0.2647144914354966
43,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,4.0,0.4968262451171875,0.266229021215226
44,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,3.0,0.4897221435546875,0.2651749067061159
45,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,2.0,0.4943605712890625,0.2683007877457531
46,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,1.0,0.4900752197265625,0.2668031048837823
47,histogram intersection ,1050,glucose,average_healthy_oxygen_consumption,0.0,0.4907711181640625,0.2683712344260516
48,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.6386086956521739,0.486656494140625,0.2603309945998758
49,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.6104347826086957,0.4482958740234375,0.2676854840099607
50,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.5822608695652174,0.4335110595703125,0.2695626523488552
51,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.5540869565217391,0.4366018310546875,0.2665212842861619
52,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.5259130434782608,0.44475244140625,0.2693563672549542
53,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.4977391304347826,0.45358232421875,0.2650691667434083
54,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.4695652173913043,0.45548603515625,0.2684324138620655
55,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.4413913043478261,0.458767578125,0.2644332117397018
56,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.4132173913043478,0.4626292724609375,0.2640162049211406
57,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.3850434782608696,0.4639319580078125,0.2625564291696367
58,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.3568695652173913,0.46525498046875,0.2623441005016755
59,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.328695652173913,0.4666329833984375,0.2627436152589296
60,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.3005217391304348,0.4772404541015625,0.2580392702001737
61,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.2723478260869565,0.4759167724609375,0.2628494871019315
62,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.2441739130434782,0.4905398193359375,0.2605601908526773
63,histogram intersection ,1050,glucose,average_cancer_glucose_absorption,0.216,0.4851663818359375,0.2597327247812007
64,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.4257391304347825,0.5004900146484375,0.2587717505598425
65,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.4069565217391303,0.504312255859375,0.2580937634554794
66,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3881739130434782,0.4952175537109375,0.256730727068633
67,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3693913043478261,0.496398779296875,0.2588292744498621
68,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3506086956521739,0.4909871337890625,0.2604738008391715
69,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3318260869565217,0.4951968994140625,0.2623746561447249
70,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.3130434782608695,0.4969767578125,0.2597440961773733
71,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2942608695652173,0.495530712890625,0.260055412893757
72,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2754782608695652,0.4967576171875,0.2612318790292321
73,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.256695652173913,0.49415517578125,0.2627068986965781
74,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2379130434782608,0.4990047607421875,0.2601940495804709
75,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2191304347826086,0.4907374267578125,0.263371060483578
76,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.2003478260869565,0.4943831787109375,0.2630566835467063
77,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.1815652173913043,0.4908959228515625,0.2652549930054385
78,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.1627826086956521,0.4879738037109375,0.2652674364952306
79,histogram intersection ,1050,glucose,average_healthy_glucose_absorption,0.144,0.4918648681640625,0.2640608322652655
80,histogram intersection ,1050,glucose,cell_cycle,27.0,0.3598214111328125,0.2968280540779631
81,histogram intersection ,1050,glucose,cell_cycle,26.0,0.37108408203125,0.291650011562185
82,histogram intersection ,1050,glucose,cell_cycle,25.0,0.38205419921875,0.2882048376237752
83,histogram intersection ,1050,glucose,cell_cycle,24.0,0.3930876953125,0.2906570390859518
84,histogram intersection ,1050,glucose,cell_cycle,23.0,0.393783447265625,0.2867158932900581
85,histogram intersection ,1050,glucose,cell_cycle,22.0,0.3970149658203125,0.2870734159480788
86,histogram intersection ,1050,glucose,cell_cycle,21.0,0.3924736328125,0.2859042586110167
87,histogram intersection ,1050,glucose,cell_cycle,20.0,0.4024263671875,0.2855190859197907
88,histogram intersection ,1050,glucose,cell_cycle,19.0,0.4122011474609375,0.2840679379897604
89,histogram intersection ,1050,glucose,cell_cycle,18.0,0.413585986328125,0.2803715736628747
90,histogram intersection ,1050,glucose,cell_cycle,17.0,0.4141676513671875,0.2738405756708729
91,histogram intersection ,1050,glucose,cell_cycle,16.0,0.4112566650390625,0.2684460733115666
92,histogram intersection ,1050,glucose,cell_cycle,15.0,0.42765341796875,0.2629340577252089
93,histogram intersection ,1050,glucose,cell_cycle,14.0,0.4366832763671875,0.2574378849391451
94,histogram intersection ,1050,glucose,cell_cycle,13.0,0.450894921875,0.2491377104940296
95,histogram intersection ,1050,glucose,cell_cycle,12.0,0.4629576171875,0.2419941593492715
96,histogram intersection ,1050,glucose,cell_cycle,11.0,0.4719782470703125,0.2368854643963162
